# Formato:
# "Pregunta","Opcion 1","Opcion 2","Opcion 3",respuesta_correcta
# La respuesta correcta se indica con numero empezando en 1.

"¿En qué ciudad se realiza el Festival REC?","Valdivia","Concepción","Temuco",2
"¿Qué significa REC en el festival?","Rock en Concepción","Ruta de Eventos Culturales","Red de Espectáculos Chilenos",1
"¿Qué tipo de evento es REC?","Festival de música","Feria gastronómica","Competencia deportiva",1
"¿En qué región de Chile se realiza el Festival REC?","Región del Maule","Región del Biobío","Región de Los Lagos",2
"¿En qué mes normalmente se realiza el REC?","Enero","Marzo","Julio",2
"El Festival REC es un evento...","Pagado","Gratuito","Solo por invitación",2
"¿Qué tipo de música predomina en REC?","Música clásica","Rock y música popular","Ópera",2
"¿Dónde se realiza principalmente el REC en Concepción?","Parque Bicentenario","Plaza de Armas","Estadio Ester Roa",1
"¿Qué país participa frecuentemente con bandas en REC?","Chile y artistas internacionales","Solo Chile","Solo Europa",1
"¿Qué elemento es típico en un festival como REC?","Escenarios en vivo","Clases de cocina","Competencias de natación",1
"¿Qué debes llevar a un festival como REC?","Ganas de disfrutar","Traje formal","Herramientas de trabajo",1
"¿Qué banda chilena es icónica en festivales como REC?","Los Jaivas","Backstreet Boys","Metallica",1
"¿Qué artista internacional ha sido parte del REC?","Travis","Bad Bunny","Drake",1
"¿Qué actividad es común en el REC?","Ver bandas en vivo","Tomar exámenes","Ir a clases",1
"El REC es conocido por ser uno de los festivales...","Más pequeños de Chile","Más grandes de Chile","Más caros de Chile",2
"¿Qué ambiente se vive en el REC?","Ambiente festivo","Ambiente formal","Ambiente de oficina",1
"¿Qué tipo de público asiste al REC?","Solo adultos mayores","Público diverso","Solo niños",2
"¿Qué se celebra principalmente en REC?","La música","El deporte","La política",1
"¿Qué puedes hacer mientras ves bandas en REC?","Disfrutar con amigos","Dormir en clases","Trabajar en oficina",1
"¿Qué caracteriza al REC frente a otros festivales?","Es gratuito","Es solo online","Es solo de jazz",1
"¿Qué necesitas para participar en REC?","Entrada pagada","Invitación especial","Nada, es abierto",3
"¿Qué se recomienda llevar al REC?","Protector solar","Traje de baño","Uniforme escolar",1
"¿Qué tipo de artistas hay en REC?","Locales e internacionales","Solo locales","Solo amateurs",1
