# Formato:
# "Pregunta","Opcion 1","Opcion 2","Opcion 3",respuesta_correcta
# La respuesta correcta se indica con numero empezando en 1.

"En que ciudad se realiza el Festival REC?","Valdivia","Concepcion","Temuco",2
"Que significa REC en el festival?","Rock en Concepcion","Ruta de Eventos Culturales","Red de Espectaculos Chilenos",1
"Que tipo de evento es REC?","Festival de musica","Feria gastronomica","Competencia deportiva",1
"En que region de Chile se realiza el Festival REC?","Region del Maule","Region del Biobio","Region de Los Lagos",2
"En que mes normalmente se realiza el REC?","Enero","Marzo","Julio",2
"El Festival REC es un evento...","Pagado","Gratuito","Solo por invitacion",2
"Que tipo de musica predomina en REC?","Musica clasica","Rock y musica popular","Opera",2
"Donde se realiza principalmente el REC en Concepcion?","Parque Bicentenario","Plaza de Armas","Estadio Ester Roa",1
"Que pais participa frecuentemente con bandas en REC?","Chile y artistas internacionales","Solo Chile","Solo Europa",1
"Que elemento es tipico en un festival como REC?","Escenarios en vivo","Clases de cocina","Competencias de natacion",1
"Que debes llevar a un festival como REC?","Ganas de disfrutar","Traje formal","Herramientas de trabajo",1
"Que banda chilena es iconica en festivales como REC?","Los Jaivas","Backstreet Boys","Metallica",1
"Que artista internacional ha sido parte del REC?","Travis","Bad Bunny","Drake",1
"Que actividad es comun en el REC?","Ver bandas en vivo","Tomar examenes","Ir a clases",1
"El REC es conocido por ser uno de los festivales...","Mas pequeños de Chile","Mas grandes de Chile","Mas caros de Chile",2
"Que ambiente se vive en el REC?","Ambiente festivo","Ambiente formal","Ambiente de oficina",1
"Que tipo de publico asiste al REC?","Solo adultos mayores","Publico diverso","Solo niños",2
"Que se celebra principalmente en REC?","La musica","El deporte","La politica",1
"Que puedes hacer mientras ves bandas en REC?","Disfrutar con amigos","Dormir en clases","Trabajar en oficina",1
"Que caracteriza al REC frente a otros festivales?","Es gratuito","Es solo online","Es solo de jazz",1
"Que necesitas para participar en REC?","Entrada pagada","Invitacion especial","Nada, es abierto",3
"Que se recomienda llevar al REC?","Protector solar","Traje de baño","Uniforme escolar",1
"Que tipo de artistas hay en REC?","Locales e internacionales","Solo locales","Solo amateurs",1
